avg_temp,precip,snow,wind_dir,wind_speed,wind_power,air_pressure,max_temp,min_temp,features,prediction
11.4,5.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.5,8.8,"[11.4,5.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.5,8.8]",0
17.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.6,12.1,"[17.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.6,12.1]",0
20.8,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.5,17.4,"[20.8,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.5,17.4]",0
6.1,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.5,0.8,"[6.1,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.5,0.8]",0
14.9,9.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.4,13.5,"[14.9,9.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.4,13.5]",0
9.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.7,6.7,"[9.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.7,6.7]",0
6.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.9,1.5,"[6.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.9,1.5]",0
20.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.2,13.5,"[20.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.2,13.5]",0
15.3,0.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.5,12.0,"[15.3,0.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.5,12.0]",0
-3.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.5,-4.7,"[-3.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.5,-4.7]",0
-3.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-2.4,-4.0,"[-3.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-2.4,-4.0]",0
11.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.3,8.2,"[11.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.3,8.2]",0
22.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,27.7,16.9,"[22.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,27.7,16.9]",0
4.8,0.0,30.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.7,-0.9,"[4.8,0.0,30.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.7,-0.9]",1
8.1,8.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.4,5.5,"[8.1,8.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.4,5.5]",0
9.1,10.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.1,8.4,"[9.1,10.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.1,8.4]",0
16.9,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.7,15.2,"[16.9,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.7,15.2]",0
15.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.6,13.5,"[15.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.6,13.5]",0
13.9,0.9,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.0,11.7,"[13.9,0.9,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.0,11.7]",0
17.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.0,14.6,"[17.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.0,14.6]",0
17.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.7,11.7,"[17.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.7,11.7]",0
10.8,2.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.2,6.7,"[10.8,2.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.2,6.7]",0
7.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.6,4.3,"[7.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.6,4.3]",0
17.8,8.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.3,13.6,"[17.8,8.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.3,13.6]",0
7.9,10.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.1,5.4,"[7.9,10.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.1,5.4]",0
-2.7,0.0,90.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.1,-7.8,"[-2.7,0.0,90.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.1,-7.8]",4
5.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.5,3.8,"[5.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.5,3.8]",0
2.1,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.6,0.1,"[2.1,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.6,0.1]",0
23.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,30.1,18.8,"[23.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,30.1,18.8]",0
13.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.9,7.9,"[13.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.9,7.9]",0
14.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.5,10.1,"[14.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.5,10.1]",0
20.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,16.3,"[20.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,16.3]",0
22.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,29.5,14.5,"[22.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,29.5,14.5]",0
12.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.5,10.3,"[12.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.5,10.3]",0
16.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.9,9.9,"[16.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,23.9,9.9]",0
14.4,10.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.3,10.1,"[14.4,10.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.3,10.1]",0
6.8,2.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.4,2.4,"[6.8,2.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.4,2.4]",0
2.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.9,1.4,"[2.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.9,1.4]",0
4.4,13.4,10.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,6.8,2.4,"[4.4,13.4,10.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,6.8,2.4]",0
17.2,11.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.5,10.5,"[17.2,11.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.5,10.5]",0
10.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.8,5.9,"[10.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,15.8,5.9]",0
4.3,4.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,6.4,2.7,"[4.3,4.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,6.4,2.7]",0
17.4,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.2,14.1,"[17.4,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.2,14.1]",0
14.9,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.7,12.0,"[14.9,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,17.7,12.0]",0
14.6,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,18.3,11.1,"[14.6,0.8,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,18.3,11.1]",0
7.1,0.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.5,5.1,"[7.1,0.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.5,5.1]",0
18.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.8,12.7,"[18.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.8,12.7]",0
15.2,2.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.4,11.3,"[15.2,2.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,19.4,11.3]",0
1.3,2.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.8,-0.9,"[1.3,2.4,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.8,-0.9]",0
-6.6,0.0,41.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-5.6,-8.3,"[-6.6,0.0,41.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-5.6,-8.3]",1
15.9,0.0,0.0,249.0,4.7,18.5,1011.2,19.3,12.0,"[15.9,0.0,0.0,249.0,4.7,18.5,1011.2,19.3,12.0]",0
12.8,8.7,0.0,209.0,4.7,20.4,1014.2,16.2,11.0,"[12.8,8.7,0.0,209.0,4.7,20.4,1014.2,16.2,11.0]",0
-10.0,1.7,10.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-4.2,-12.2,"[-10.0,1.7,10.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-4.2,-12.2]",0
9.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.4,7.6,"[9.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.4,7.6]",0
1.6,0.9,150.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.8,0.3,"[1.6,0.9,150.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,2.8,0.3]",2
8.5,16.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.7,6.9,"[8.5,16.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,11.7,6.9]",0
20.5,11.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.4,13.3,"[20.5,11.2,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.4,13.3]",0
6.7,8.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.6,5.4,"[6.7,8.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,7.6,5.4]",0
13.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.4,4.9,"[13.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.4,4.9]",0
8.1,17.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.3,6.6,"[8.1,17.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.3,6.6]",0
12.3,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.7,8.7,"[12.3,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.7,8.7]",0
11.5,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.8,9.3,"[11.5,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.8,9.3]",0
9.4,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.7,6.9,"[9.4,0.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,13.7,6.9]",0
12.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,18.5,7.7,"[12.6,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,18.5,7.7]",0
10.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.5,7.7,"[10.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,14.5,7.7]",0
3.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.9,2.5,"[3.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,5.9,2.5]",0
-1.0,0.6,110.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,0.6,-2.9,"[-1.0,0.6,110.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,0.6,-2.9]",4
1.6,5.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.6,-0.5,"[1.6,5.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.6,-0.5]",0
12.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.2,10.0,"[12.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.2,10.0]",0
21.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.1,14.5,"[21.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,28.1,14.5]",0
17.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.0,12.9,"[17.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,24.0,12.9]",0
9.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.3,5.0,"[9.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,12.3,5.0]",0
-5.3,0.0,150.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-2.2,-9.0,"[-5.3,0.0,150.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-2.2,-9.0]",2
14.9,3.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.7,10.7,"[14.9,3.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.7,10.7]",0
21.8,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,26.1,17.1,"[21.8,0.1,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,26.1,17.1]",0
16.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.1,13.1,"[16.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,21.1,13.1]",0
5.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.0,2.6,"[5.0,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.0,2.6]",0
11.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.9,5.7,"[11.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,16.9,5.7]",0
